,Date,Price
111,2024-08-09 17:08:28.993,60394.197258554974
112,2024-08-09 18:01:12.388,60217.88807352617
113,2024-08-09 19:10:28.906,60258.14784461559
114,2024-08-09 20:07:37.778,60632.104190329905
115,2024-08-09 21:12:07.369,60144.842362760035
116,2024-08-09 22:15:32.526,60379.369690744454
117,2024-08-09 23:09:32.617,60669.64683588142
118,2024-08-10 00:14:44.591,60755.111202226646
119,2024-08-10 01:18:26.433,60962.50427379994
120,2024-08-10 02:09:04.258,60507.50499256308
121,2024-08-10 03:09:30.646,60410.25425128342
122,2024-08-10 04:11:50.662,60367.96063350845
123,2024-08-10 05:09:53.769,60368.84402289579
124,2024-08-10 06:05:50.174,60399.700893409936
125,2024-08-10 07:06:39.232,60567.747299370836
126,2024-08-10 08:20:19.690,60791.35658656173
127,2024-08-10 09:22:19.417,60822.15156653687
128,2024-08-10 10:20:29.770,60957.17085877937
129,2024-08-10 11:14:20.169,60885.40360711779
130,2024-08-10 12:08:03.832,60904.07764531184
131,2024-08-10 13:19:41.270,60615.77679033893
132,2024-08-10 14:17:21.997,60551.785330864404
133,2024-08-10 15:04:56.627,60665.619221873094
134,2024-08-10 16:16:55.050,60614.99746703881
135,2024-08-10 17:05:33.728,60677.646652642696
136,2024-08-10 18:17:55.172,61195.035718238294
137,2024-08-10 19:18:46.768,60917.447878143765
138,2024-08-10 20:04:31.656,61025.327156937135
139,2024-08-10 21:08:21.051,61014.11680598037
140,2024-08-10 22:11:47.455,61012.764932953134
141,2024-08-10 23:01:04.241,60922.187767328905
142,2024-08-11 00:09:57.494,61011.134834720804
143,2024-08-11 01:05:07.559,61100.641864870006
144,2024-08-11 02:04:28.265,61139.79916109989
145,2024-08-11 03:04:46.692,61021.307089617876
146,2024-08-11 04:06:58.827,61100.31910266797
147,2024-08-11 05:06:54.538,60966.178059690064
148,2024-08-11 06:09:13.665,61056.25916994057
149,2024-08-11 07:09:42.597,61141.70428796424
150,2024-08-11 08:09:50.073,61279.09089914344
151,2024-08-11 09:03:45.635,61272.181426460964
152,2024-08-11 10:11:40.467,61198.89822854139
153,2024-08-11 11:00:50.172,61117.89664074487
154,2024-08-11 12:01:40.760,60707.95399897831
155,2024-08-11 13:15:41.545,60313.6607485688
156,2024-08-11 14:13:33.903,60364.759981356496
157,2024-08-11 15:04:47.804,60332.94765609406
158,2024-08-11 16:18:10.017,60037.409793395156
159,2024-08-11 17:00:19.476,60181.83158786765
160,2024-08-11 18:10:50.643,60224.756927116745
161,2024-08-11 19:21:10.667,60080.736165909206
162,2024-08-11 20:18:44.657,58934.90926747568
163,2024-08-11 21:13:25.910,58371.55454267009
164,2024-08-11 22:17:50.841,58769.693922188424
165,2024-08-11 23:13:38.331,58844.58510274143
166,2024-08-12 00:00:26.166,58804.23449992608
167,2024-08-12 01:16:52.875,58661.41383715496
168,2024-08-12 02:17:55.963,58608.72435938079
